contrast-90;energy-90;homogenity-90;correlation-90;dissimilarity-90;ASM-90;contrast-135;energy-135;homogenity-135;correlation-135;dissimilarity-135;ASM-135;target
717907469;0.07191519;0.4173774;0.9308417;158365663;0.00611291;482878484;0.07818513;0.46715979;0.95346289;158365663;0.00611291;2
77454961;0.0687797;0.4074059;0.93230443;16535786;0.00557994;518247492;0.074699;0.45339727;0.95472869;16535786;0.00557994;2
691020067;0.07174538;0.41461516;0.93407394;152493868;0.0063151;447853958;0.07946762;0.47782885;0.95723196;152493868;0.0063151;2
575927536;0.08318416;0.44318641;0.92616758;143122631;0.00811158;396257525;0.09006431;0.49485829;0.94923272;143122631;0.00811158;2
572667781;0.08119533;0.45388833;0.93554186;141086957;0.00763383;383807135;0.08737179;0.498125;0.95682122;141086957;0.00763383;2
570453735;0.08192615;0.45022995;0.93407172;142404682;0.00771819;394982163;0.08785325;0.49699455;0.95437387;142404682;0.00771819;2
650593088;0.07416194;0.42796332;0.9357127;155474916;0.0063846;472348941;0.07990367;0.47450578;0.95336786;155474916;0.0063846;2
733859532;0.06114605;0.42814437;0.9709165;173571906;0.00398002;603516165;0.06308742;0.45069282;0.97610185;173571906;0.00398002;1
86873913;0.06015832;0.42473013;0.96414271;180837235;0.00388788;689874025;0.06235284;0.45036253;0.97154352;180837235;0.00388788;1
975587514;0.05067504;0.39879081;0.97054092;199668896;0.0027357;810774805;0.05230391;0.41943934;0.97551767;199668896;0.0027357;1
780541806;0.06498873;0.44117803;0.96825732;173383501;0.0043549;627403567;0.06599164;0.45826888;0.97445479;173383501;0.0043549;1
78387291;0.06161982;0.42787432;0.96449179;18206689;0.00389317;659850613;0.06239525;0.43894948;0.97006509;18206689;0.00389317;1
651603122;0.06693746;0.45793822;0.96346252;163792642;0.00468556;559875139;0.06845116;0.47318916;0.96864411;163792642;0.00468556;1
962206243;0.05331297;0.39827123;0.97272808;200904125;0.00300435;829327759;0.05481199;0.41580314;0.97644986;200904125;0.00300435;1
962384615;0.05633202;0.39256555;0.9700934;224512821;0.00316001;1092209588;0.05621393;0.39530762;0.96600125;224512821;0.00316001;1
345740245;0.08315874;0.54986831;0.9769599;120891862;0.00699814;320911929;0.08365488;0.55641466;0.97867986;120891862;0.00699814;1
940257525;0.05101919;0.39798136;0.97107548;216240803;0.00263571;971801561;0.05133912;0.40296796;0.97011367;216240803;0.00263571;1
702244147;0.06373407;0.42028533;0.95582566;172733556;0.00447338;586091416;0.0668833;0.45086673;0.96311105;172733556;0.00447338;3
681536232;0.06382992;0.426039;0.95902441;168369008;0.00452387;553590858;0.06725974;0.45718758;0.96668892;168369008;0.00452387;3
686833891;0.06424293;0.42788867;0.95892024;170128205;0.00447364;568830546;0.06688525;0.45580701;0.96595108;170128205;0.00447364;3
561575251;0.07354432;0.46605064;0.96407646;14154961;0.00607186;405995541;0.07792213;0.50627049;0.97394237;14154961;0.00607186;3
974537347;0.05681873;0.38499769;0.95768986;211956522;0.00348419;954195095;0.05902701;0.4043442;0.95852679;211956522;0.00348419;3
654005574;0.06726295;0.42221438;0.95115411;166123746;0.0050031;521318841;0.07073261;0.45296084;0.96102548;166123746;0.0050031;3
697975474;0.06536422;0.43235462;0.95601524;164023411;0.00469729;524790412;0.06853675;0.46253813;0.96689039;164023411;0.00469729;3
755811594;0.06171216;0.41237728;0.95529909;166023411;0.00441443;529896321;0.0664412;0.45587711;0.96868405;166023411;0.00441443;3
627283166;0.07017439;0.44806876;0.95655877;155114827;0.00545981;475884058;0.07389055;0.47848411;0.96700863;155114827;0.00545981;3
752634337;0.06195308;0.40648868;0.9523218;179760312;0.00420942;611494983;0.06488005;0.43461086;0.96127752;179760312;0.00420942;3
101548495;0.05367433;0.37000464;0.95069493;206897436;0.00317263;814823857;0.05632606;0.39886936;0.96041713;206897436;0.00317263;3
1054059086;0.05539966;0.36855541;0.94385007;211225195;0.00336413;850375697;0.05800111;0.39559316;0.95468799;211225195;0.00336413;3
1124753623;0.0550983;0.35286526;0.93529971;225166109;0.00327763;939966555;0.05725058;0.37083836;0.94592455;225166109;0.00327763;3
1196920847;0.0525212;0.34472962;0.93728105;217498328;0.00314301;883070234;0.05606256;0.38124123;0.95374706;217498328;0.00314301;3
812284281;0.06001508;0.39598881;0.9468268;195207358;0.00378645;71854738;0.0615341;0.40970987;0.95297363;195207358;0.00378645;3
965486065;0.05569203;0.37443004;0.94642435;198350056;0.00348295;745661093;0.05901654;0.40724193;0.95862059;198350056;0.00348295;3
985813824;0.05623726;0.37223496;0.94472571;199816054;0.00352681;756507246;0.05938691;0.40611082;0.95760046;199816054;0.00352681;3
1033661093;0.05513906;0.3686084;0.94502023;208489409;0.00332835;820462653;0.05769183;0.39365633;0.95637567;208489409;0.00332835;3
1089918618;0.05463526;0.3616755;0.94098366;214671126;0.00326552;855344482;0.0571447;0.38396482;0.95369157;214671126;0.00326552;3
957003344;0.05459229;0.38030394;0.95160744;198268673;0.00332052;753200669;0.05762396;0.41146581;0.96191533;198268673;0.00332052;3
